REDE CREDENCIADA 2026,,,,,,,
Epecialidade,Viver,Particular,Diferença,Telefone,Local,Endereço,Incluso
"Ortopedia Otorrinolaringologia Otorrinolaringologia
Otorrinolaringologia","R$ 200,00 R$145,00 R$ 280,00
R$ 200,00","R$ 350,00
R$ 160,00
R$ 400,00
R$ 350,00","R$ 150,00
R$ 25,00
R$ 220,00
R$ 150,00","(47) 3842-3978
(47) 9154-7004
47 9741-2696
( 47) 9924-9537","Nova Medical Center Clínica Atend já Clínica COF
Clínica Dias","Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Blumenau, 178 - sala 506 (Edifício Medclínicas) - América, Joinville
R. Luiz Brockmann, 141 - América, Joinville - SC, 89204-260",Pagamento apenas no dinheiro em espécie
"Psicopedagoga Infantil Pediatria
Pediatria","R$105,00 R$ 200,00
R$ 200,00","-
R$ 400,00
R$ 250,00","-
R$ 220,00
R$ 50,00","(47) 3207-2192
(47) 3305-8999
(47 )9773-7155","Espaço Stimuli Multidisciplinar Clínica Voe Saúde
Clínica Pediátrica Dra Marilise Alves","Rua Tuiuti, 2236 – Sala 302
Rua Tuiuti, 2295, sala 201 - Aventureiro, Joinville/SC Rua Blumenau nº 178, América, Joinville/SC","Valor de R$ 105,00 consulta avulsa Consulta com Dr Thiago de 0 á 18 anos"
"Pediatria Pediatria Pediatria
Pediatria","R$130,00 R$ 200,00 R$220,00
R$ 350,00","R$ 160,00
R$ 400,00
R$ 400,00
R$ 450,00","R$ 30,00
R$ 200,00
R$ 180,00
R$ 100,00","(47) 9154-7004
(47) 3842-3978
(47) 3433-6466
(47) 3207-2770","Clínica Atend já Nova Medical Center
Curumim Especialidades
Clínica Pequenos Anjos","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Rua Blumenau nº 314, América, Joinville/SC
Rua Expedicionário Holz, 550 – 9º andar, sala 910 – Bairro Atiradores, Joinville/SC",Crianças a partir de 04 anos
"Pneumologia
Pneumologia Proctologia","R$250,00 R$ 200,00
R$ 220,00","R$ 400,00
R$ 400,00
R$ 500,00","R$ 120,00
R$ 220,00
R$ 280,00","47 3027-4588
(47) 3305-8999
(47) 3422-4545","Clínica Nogueira
Clínica Voe Saúde Clínica Pró Gastro","Rua Expedicionário Holz nº 550, Atiradores, Joinville/SC Rua Tuiuti, 2295 - Sala 201, Joinville/SC
R. Alexandre Döhler, 129 - 6° Andar - Centro, Joinville - SC, 89201-260",Consulta aidade mínima 16 anos
"Psicologia Psicologia Psicologia
Psicologia","R$ 90,00
R$ 70,00
R$ 125,00
R$ 60,00","R$ 110,00
R$ 150,00
R$ 250,00
R$ 130,00","R$ 20,00
R$ 80,00
R$ 125,00
R$ 70,00","(47) 9154-7004
(47)9117-2104
( 47) 9267-2208
(47) 9676-6177","Clínica Atend já Psicóloga Moziel
Psicóloga Liane de Almeida Cidral
Psicóloga Aline Spadin","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Juscelino Kubitschek,410 - Sala 1003, Bloco A - Centro, Joinville/SC Endereço: Ed. Terraço Center, R. Mário Lobo, 61 - Sala 804 - Centro, Joinville - SC.
R. Blumenau, 178 - sala 506 (Edifício Medclínicas) - América, Joinville",
"Psicologia Psicologia
Psicologia","R$ 80,00
R$ 70,00
R$ 75,00","R$ 140,00
R$ 190,00
R$ 160,00","R$ 60,00
R$ 120,00
R$ 85,00","(47) 99193-2506
(47) 3026-6740
(47 )9960-7332","Clínica Integrar
Instituto de Psicologia Fronteiras Gestálticas Clínica Fisioser","Rua Abdon Batista nº 121, Centro, Joinville/SC Rua Teresina nº 128, Saguaçu, Joinville/SC
Rua Adriano Schondermank nº 378, Costa e Silva, Joinville/SC",
"Psiquiatria Psiquiatria Psiquiatria Infantil
Psiquiatria","R$ 250,00
R$ 180,00
R$ 260,00
R$ 240,00","R$ 490,00
R$ 200,00
R$ 280,00
R$ 365,00","R$ 240,00
R$ 20,00
R$ 20,00
R$ 125,00","(47) 3305-8999
(47) 9154-7004
(47) 9154-7004
47 9243-4373","Clínica Voe Saúde Clínica Atend já Clínica Atend já
Geist Instituto de Psiquiatria","Rua Tuiuti, 2295 - Sala 201, Joinville/SC
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
R. Dr. Plácido Gomes, 534 - Anita Garibaldi",Consulta idade mínima 14 anos Consulta online
"Psiquiatria Reumatologia
Reumatologia","R$ 250,00
R$ 145,00
R$ 300,00","R$ 350,00
R$ 170,00
R$ 400,00","R$ 100,00
R$ 25,00
R$ 100,00","(47) 9635-6908
(47) 9154-7004
(47) 3202-9200","Clínica Pró Vida Clínica Atend já
Clínica Ceta","R. Sen. Felipe Schmidt, 229 - Centro, Joinville - SC, 89201-440
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260 Endereço: R. Dr. Plácido Olímpio de Oliveira, 955 - Anita Garibaldi",
"Reumatologia Terapia Ocupacional Terapia Ocupacional
Urologia","R$ 300,00
R$ 100,00
R$ 105,00
R$ 200,00","R$ 400,00
R$ 200,00
-
R$ 300,00","R$ 100,00
R$ 100,00
-
R$ 100,00","(47) 3842-3978
(47 )9635-6908
47 3207-2192
3433-1187","Nova Medical Center Clínica PRO Vida
Espaço Stimuli Multidisciplinar
Instituto Urologia Joinville","Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC
R. Sen. Felipe Schmidt, 229 - Centro, Joinville - SC, 89201-440 Rua Tuiuti, 2236 – Sala 302
R. Abdon Batista, 47 - Centro, Joinville",
"Urologia Urologia
Vascular","R$ 350,00
R$ 200,00
R$ 280,00","R$ 400,00
R$ 300,00
R$ 350,00","R$ 50,00
R$ 100,00
R$ 70,00","(47) 3433-3976
(47) 3842-3978
47) 3801-0210","Urocentro - Urologia Integrada de Joinville Nova Medical Center
Clini Varizes","R. Dr. Plácido Gomes, 301 - Anita Garibaldi, Joinville
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Doctor Center - R. Sete de Setembro, 233 - Centro.",
Vascular,"R$ 200,00","R$ 400,00","R$ 200,00",(47) 3842-3978,Nova Medical Center,Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC,
